# NedoTokenizer 20 GB candidate vocabulary
# NDSRF004 / RootSuffixByteBpe / max_token_bytes=48 / min_frequency=100
# columns: id	type	text	hex
428	learned	"ında"	C4 B1 6E 64 61
429	learned	" et"	20 65 74
430	learned	"lu"	6C 75
431	learned	" C"	20 43
432	learned	" u"	20 75
433	learned	"ec"	65 63
434	learned	" c"	20 63
435	learned	"ilir"	69 6C 69 72
436	learned	"ön"	C3 B6 6E
437	learned	"oğ"	6F C4 9F
438	learned	"uş"	75 C5 9F
439	learned	"tı"	74 C4 B1
440	learned	"ül"	C3 BC 6C
441	learned	"iyor"	69 79 6F 72
442	learned	"ki"	6B 69
443	learned	" F"	20 46
444	learned	"iye"	69 79 65
445	learned	"                "	20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20
446	learned	"eç"	65 C3 A7
447	learned	" baş"	20 62 61 C5 9F
448	learned	"lık"	6C C4 B1 6B
449	learned	" in"	20 69 6E
450	learned	"eb"	65 62
451	learned	" son"	20 73 6F 6E
452	learned	"av"	61 76
453	learned	"ine"	69 6E 65
454	learned	" ar"	20 61 72
455	learned	"om"	6F 6D
456	learned	" r"	20 72
457	learned	" ön"	20 C3 B6 6E
458	learned	"Ş"	C5 9E
459	learned	"ip"	69 70
460	learned	"tır"	74 C4 B1 72
461	learned	" gel"	20 67 65 6C
462	learned	" kar"	20 6B 61 72
463	learned	"üş"	C3 BC C5 9F
464	learned	"gi"	67 69
465	learned	"erek"	65 72 65 6B
466	learned	" ver"	20 76 65 72
467	learned	" bil"	20 62 69 6C
468	learned	"ci"	63 69
469	learned	"se"	73 65
470	learned	" değ"	20 64 65 C4 9F
471	learned	" Bu"	20 42 75
472	learned	"inde"	69 6E 64 65
473	learned	"cı"	63 C4 B1
474	learned	" kon"	20 6B 6F 6E
475	learned	" gör"	20 67 C3 B6 72
476	learned	" iş"	20 69 C5 9F
477	learned	"op"	6F 70
478	learned	"ini"	69 6E 69
479	learned	"man"	6D 61 6E
480	learned	" ma"	20 6D 61
481	learned	"ib"	69 62
482	learned	"eş"	65 C5 9F
483	learned	"ını"	C4 B1 6E C4 B1
484	learned	" ay"	20 61 79
485	learned	"ması"	6D 61 73 C4 B1
486	learned	"duğ"	64 75 C4 9F
487	learned	"uk"	75 6B
488	learned	" en"	20 65 6E
489	learned	" N"	20 4E
490	learned	"ullan"	75 6C 6C 61 6E
491	learned	"sa"	73 61
492	learned	" R"	20 52
493	learned	"nin"	6E 69 6E
494	learned	"dığ"	64 C4 B1 C4 9F
495	learned	"aha"	61 68 61
496	learned	"laş"	6C 61 C5 9F
497	learned	"ği"	C4 9F 69
498	learned	"miş"	6D 69 C5 9F
499	learned	"yi"	79 69
500	learned	" kullan"	20 6B 75 6C 6C 61 6E
501	learned	" 3"	20 33
502	learned	"ör"	C3 B6 72
503	learned	"eğ"	65 C4 9F
504	learned	" ara"	20 61 72 61
505	learned	" bul"	20 62 75 6C
506	learned	"mış"	6D C4 B1 C5 9F
507	learned	"yon"	79 6F 6E
508	learned	" Ç"	20 C3 87
509	learned	"ka"	6B 61
510	learned	"ca"	63 61
511	learned	"ürk"	C3 BC 72 6B
512	learned	" yer"	20 79 65 72
513	learned	"ite"	69 74 65
514	learned	"ez"	65 7A
515	learned	" me"	20 6D 65
516	learned	"ıyor"	C4 B1 79 6F 72
517	learned	" aç"	20 61 C3 A7
518	learned	"cak"	63 61 6B
519	learned	"ot"	6F 74
520	learned	"ru"	72 75
521	learned	"dak"	64 61 6B
522	learned	" V"	20 56
523	learned	" or"	20 6F 72
524	learned	"yle"	79 6C 65
525	learned	"alış"	61 6C C4 B1 C5 9F
526	learned	" çok"	20 C3 A7 6F 6B
527	learned	" var"	20 76 61 72
528	learned	" 201"	20 32 30 31
529	learned	" daha"	20 64 61 68 61
530	learned	" ist"	20 69 73 74
531	learned	"ından"	C4 B1 6E 64 61 6E
532	learned	"ist"	69 73 74
533	learned	" uy"	20 75 79
534	learned	" kal"	20 6B 61 6C
535	learned	" Ö"	20 C3 96
536	learned	" L"	20 4C
537	learned	"id"	69 64
538	learned	" sür"	20 73 C3 BC 72
539	learned	"ge"	67 65
540	learned	"ih"	69 68
541	learned	" bel"	20 62 65 6C
542	learned	"ına"	C4 B1 6E 61
543	learned	"os"	6F 73
544	learned	"us"	75 73
545	learned	"â"	C3 A2
546	learned	" gün"	20 67 C3 BC 6E
547	learned	" yıl"	20 79 C4 B1 6C
548	learned	"ile"	69 6C 65
549	learned	" her"	20 68 65 72
550	learned	" çalış"	20 C3 A7 61 6C C4 B1 C5 9F
551	learned	"na"	6E 61
552	learned	"fa"	66 61
553	learned	"ne"	6E 65
554	learned	"daki"	64 61 6B 69
555	learned	"lığ"	6C C4 B1 C4 9F
556	learned	" kad"	20 6B 61 64
557	learned	"yı"	79 C4 B1
558	learned	"aman"	61 6D 61 6E
559	learned	" kur"	20 6B 75 72
560	learned	"len"	6C 65 6E
561	learned	"san"	73 61 6E
562	learned	"kan"	6B 61 6E
563	learned	"leş"	6C 65 C5 9F
564	learned	"eki"	65 6B 69
565	learned	"yla"	79 6C 61
566	learned	"öz"	C3 B6 7A
567	learned	"ecek"	65 63 65 6B
568	learned	"gu"	67 75
569	learned	"sında"	73 C4 B1 6E 64 61
570	learned	"men"	6D 65 6E
571	learned	"tr"	74 72
572	learned	"ark"	61 72 6B
573	learned	" ü"	20 C3 BC
574	learned	" Ş"	20 C5 9E
575	learned	"imiz"	69 6D 69 7A
576	learned	"ama"	61 6D 61
577	learned	"nın"	6E C4 B1 6E
578	learned	"ibi"	69 62 69
579	learned	" gerek"	20 67 65 72 65 6B
580	learned	"ayı"	61 79 C4 B1
581	learned	" geç"	20 67 65 C3 A7
582	learned	" ad"	20 61 64
583	learned	"tur"	74 75 72
584	learned	" gibi"	20 67 69 62 69
585	learned	" üz"	20 C3 BC 7A
586	learned	" çık"	20 C3 A7 C4 B1 6B
587	learned	"lem"	6C 65 6D
588	learned	"ğr"	C4 9F 72
589	learned	"000"	30 30 30
590	learned	" el"	20 65 6C
591	learned	"eni"	65 6E 69
592	learned	" 4"	20 34
593	learned	"mesi"	6D 65 73 69
594	learned	"met"	6D 65 74
595	learned	"endi"	65 6E 64 69
596	learned	"lü"	6C C3 BC
597	learned	"sun"	73 75 6E
598	learned	"ere"	65 72 65
599	learned	"eh"	65 68
600	learned	" ek"	20 65 6B
601	learned	"yan"	79 61 6E
602	learned	" yar"	20 79 61 72
603	learned	"tan"	74 61 6E
604	learned	"üy"	C3 BC 79
605	learned	" Türk"	20 54 C3 BC 72 6B
606	learned	" U"	20 55
607	learned	"ic"	69 63
608	learned	"acak"	61 63 61 6B
609	learned	"Ü"	C3 9C
610	learned	"ers"	65 72 73
611	learned	"ken"	6B 65 6E
612	learned	" bulun"	20 62 75 6C 75 6E
613	learned	"lerini"	6C 65 72 69 6E 69
614	learned	"ele"	65 6C 65
615	learned	" yaş"	20 79 61 C5 9F
616	learned	"od"	6F 64
617	learned	" sağ"	20 73 61 C4 9F
618	learned	" yön"	20 79 C3 B6 6E
619	learned	" 5"	20 35
620	learned	"öl"	C3 B6 6C
621	learned	"he"	68 65
622	learned	" sonra"	20 73 6F 6E 72 61
623	learned	" öz"	20 C3 B6 7A
624	learned	"if"	69 66
625	learned	" ne"	20 6E 65
626	learned	" yan"	20 79 61 6E
627	learned	"şı"	C5 9F C4 B1
628	learned	" An"	20 41 6E
629	learned	"let"	6C 65 74
630	learned	"unu"	75 6E 75
631	learned	"araf"	61 72 61 66
632	learned	"öyle"	C3 B6 79 6C 65
633	learned	" pro"	20 70 72 6F
634	learned	"lam"	6C 61 6D
635	learned	"ig"	69 67
